event,model,parameter,sample_count,duplicate_fraction,lag1_correlation,source_file,sampling_method,original_sample_count,stored_sample_count,stored_equals_original
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,19070,0.0,0.0094805101088748,confirmatory_batch_A_posteriors.hdf5,all_samples,19070,19070,True
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,19070,0.0,0.03385726806471546,confirmatory_batch_A_posteriors.hdf5,all_samples,19070,19070,True
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,19070,0.0,0.0001682942120301809,confirmatory_batch_A_posteriors.hdf5,all_samples,19070,19070,True
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,19070,0.0,0.008417902890436618,confirmatory_batch_A_posteriors.hdf5,all_samples,19070,19070,True
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass_source,19070,0.0,0.00918629807971558,confirmatory_batch_A_posteriors.hdf5,all_samples,19070,19070,True
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,19199,0.0,-0.008433263444325937,confirmatory_batch_A_posteriors.hdf5,all_samples,19199,19199,True
GW240525_031210,C00:IMRPhenomXPNR,mass_ratio,19199,0.0,0.02618972178736708,confirmatory_batch_A_posteriors.hdf5,all_samples,19199,19199,True
GW240525_031210,C00:IMRPhenomXPNR,chi_eff,19199,0.0,-0.007453842067564602,confirmatory_batch_A_posteriors.hdf5,all_samples,19199,19199,True
GW240525_031210,C00:IMRPhenomXPNR,luminosity_distance,19199,0.0,0.0029594082666751288,confirmatory_batch_A_posteriors.hdf5,all_samples,19199,19199,True
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass_source,19199,0.0,0.012272375720814651,confirmatory_batch_A_posteriors.hdf5,all_samples,19199,19199,True
GW240414_054515,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,14167,0.0,0.03567604818993365,confirmatory_batch_A_posteriors.hdf5,all_samples,14167,14167,True
GW240414_054515,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,14167,0.0,0.016461765625645226,confirmatory_batch_A_posteriors.hdf5,all_samples,14167,14167,True
GW240414_054515,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,14167,0.0,0.01067998430698264,confirmatory_batch_A_posteriors.hdf5,all_samples,14167,14167,True
GW240414_054515,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,14167,0.0,0.010431768197493948,confirmatory_batch_A_posteriors.hdf5,all_samples,14167,14167,True
