batch,slot,event,original_selected_event,replacement_status,score_stratum,snr_stratum,event_median_NW1,event_max_NW1,primary_parameters_above_noise,primary_fraction_above_noise,screening_max_NW1,maximum_screening_shift,median_screening_shift,network_matched_filter_snr,total_mass_source
A,1,GW240525_031210,GW240525_031210,original,high,low,0.030611282137928686,0.08975519793184633,4,1.0,0.08975519793184633,0.0949183338129481,0.0178886274124398,8.017196974705554,52.54694870894039
A,2,GW240414_054515,GW240414_054515,original,high,medium,0.04555534332152375,0.10238637858417687,4,1.0,0.10238637858417687,0.0875787839955933,0.0494293409703775,10.665469514220286,64.80198802948647
A,3,GW241109_115924,GW240629_145256,replacement,low,high,0.015812336500323862,0.03828609123299882,2,0.5,0.022506593762606088,0.0098177589425543,0.0096578605514212,11.5807155272947,12.515611776415556
A,4,GW241101_220523,GW241101_220523,original,low,medium,0.008859992465326618,0.03884515694613552,1,0.25,0.03884515694613552,0.0444747960390566,0.0062182633953336,10.559640251826584,60.04137418227778
A,5,GW240922_142106,GW240922_142106,original,medium,high,0.04676600329137612,0.12533717505000247,3,0.75,0.0682996677772678,0.0620376432160127,0.0098757495782791,12.351525507256836,19.269360824265213
A,6,GW240531_075248,GW240531_075248,original,medium,low,0.0186800179103292,0.06944764555741444,3,0.75,0.06944764555741444,0.059721125070289,0.0247252760894688,8.58786974361654,55.55937935031746
B,1,GW240428_225440,GW240428_225440,original,high,high,0.06586409521983073,0.12249618220274926,3,0.75,0.12249618220274926,0.111644350410925,0.0516859094379117,15.637040990083364,34.49133815848619
B,2,GW240630_101703,GW250109_010541,replacement,high,medium,0.10131405318004702,0.14334952416326288,4,1.0,0.14334952416326288,0.1378546217637243,0.0863057847384262,10.110770795910597,49.79998566618293
B,3,GW240910_103535,GW240413_022019,replacement,low,high,0.03312007571312664,0.15119771828335035,3,0.75,0.03752527896834084,0.0417265007334035,0.0337698115899008,17.44636371278426,17.35091711013862
B,4,GW240627_131622,GW240627_131622,original,low,low,0.03652914400244538,0.08650580675781501,3,0.75,0.051885751874096615,0.0490974922629905,0.0239579150411812,9.22530488681765,20.122444239593904
B,5,GW240426_031451,GW240426_031451,original,medium,low,0.02984222248993975,0.05737471911211969,4,1.0,0.05737471911211969,0.0546451385581224,0.0209856308002084,9.068201398175958,88.13395670486264
B,6,GW241109_033317,GW241109_033317,original,medium,medium,0.012073227288570087,0.06910952269362439,2,0.5,0.06910952269362439,0.0619934869790664,0.0129819544981525,10.392918337503058,73.66887990235529
C,1,GW241230_084504,GW241230_084504,original,high,high,0.0347852151057083,0.10027155662158567,3,0.75,0.10027155662158567,0.1038591113365449,0.0511912873212702,11.780626847846229,75.83644927188473
C,2,GW240526_093944,GW240526_093944,original,high,low,0.06647747516402312,0.11401255337916896,3,0.75,0.1054980801555915,0.1034942147574333,0.0293831268535796,8.46612542458792,23.168558170268
C,3,GW250101_011205,GW250101_011205,original,low,low,0.018390942995229156,0.04344223276527641,3,0.75,0.04344223276527641,0.0370683421529829,0.0069511651367365,9.078581369851657,50.901055298866495
C,4,GW250108_152221,GW250108_152221,original,low,medium,0.01897205297424133,0.038539388902260274,3,0.75,0.038539388902260274,0.0338574957100133,0.022195835867756,10.310255298075788,89.24964867066666
C,5,GW241114_235258,GW241114_235258,original,medium,high,0.04578607994065813,0.1038703507062856,4,1.0,0.06695368558580095,0.0594743063743132,0.0145598696208374,12.150780192249927,19.09912254848588
C,6,GW240519_012815,GW240825_055146,replacement,medium,medium,0.018279657298799896,0.053348442031497814,2,0.5,0.053348442031497814,0.0527525302567554,0.0244779952690248,10.605270155618086,103.86160065194524
