event,model,parameter,source_file,finite_sample_count
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,confirmatory_batch_A_posteriors.hdf5,19070
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,confirmatory_batch_A_posteriors.hdf5,19070
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,confirmatory_batch_A_posteriors.hdf5,19070
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,confirmatory_batch_A_posteriors.hdf5,19070
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass_source,confirmatory_batch_A_posteriors.hdf5,19070
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,confirmatory_batch_A_posteriors.hdf5,19199
GW240525_031210,C00:IMRPhenomXPNR,mass_ratio,confirmatory_batch_A_posteriors.hdf5,19199
GW240525_031210,C00:IMRPhenomXPNR,chi_eff,confirmatory_batch_A_posteriors.hdf5,19199
GW240525_031210,C00:IMRPhenomXPNR,luminosity_distance,confirmatory_batch_A_posteriors.hdf5,19199
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass_source,confirmatory_batch_A_posteriors.hdf5,19199
GW240414_054515,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,confirmatory_batch_A_posteriors.hdf5,14167
GW240414_054515,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,confirmatory_batch_A_posteriors.hdf5,14167
GW240414_054515,C00:IMRPhenomXPHM-SpinTaylor,chi_eff,confirmatory_batch_A_posteriors.hdf5,14167
GW240414_054515,C00:IMRPhenomXPHM-SpinTaylor,luminosity_distance,confirmatory_batch_A_posteriors.hdf5,14167
GW240414_054515,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass_source,confirmatory_batch_A_posteriors.hdf5,14167
GW240414_054515,C00:IMRPhenomXPNR,chirp_mass,confirmatory_batch_A_posteriors.hdf5,13285
GW240414_054515,C00:IMRPhenomXPNR,mass_ratio,confirmatory_batch_A_posteriors.hdf5,13285
GW240414_054515,C00:IMRPhenomXPNR,chi_eff,confirmatory_batch_A_posteriors.hdf5,13285
GW240414_054515,C00:IMRPhenomXPNR,luminosity_distance,confirmatory_batch_A_posteriors.hdf5,13285
GW240414_054515,C00:IMRPhenomXPNR,chirp_mass_source,confirmatory_batch_A_posteriors.hdf5,13285
GW241109_115924,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,confirmatory_batch_A_replacement_01_posteriors.hdf5,14582
