event,model,parameter,replicate,half_sample_size,split_normalized_wasserstein_1
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,1,9535,0.005910210005283301
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,2,9535,0.006492821004036147
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,3,9535,0.0054335388276784274
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,4,9535,0.005170603283102753
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,5,9535,0.007626832605159175
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,6,9535,0.005610140985327408
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,7,9535,0.006058038625350721
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,8,9535,0.007360109376817881
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,9,9535,0.003867630519002527
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,10,9535,0.008000257664333323
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,11,9535,0.012537754025427903
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,12,9535,0.004936966180676159
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,13,9535,0.00679504767966598
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,14,9535,0.006964956317033835
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,15,9535,0.007744578996707031
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,16,9535,0.007110242548151202
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,17,9535,0.00552857289900886
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,18,9535,0.00957018567125372
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,19,9535,0.004623634341200806
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,20,9535,0.00510326463419274
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,21,9535,0.005785713040911851
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,22,9535,0.004193924715056051
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,23,9535,0.006975834565853914
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,24,9535,0.008226183996786209
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,25,9535,0.005143896970654014
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,26,9535,0.007053018493223511
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,27,9535,0.008410653550875958
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,28,9535,0.0077408717609728376
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,29,9535,0.0074136685282270125
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,30,9535,0.007190330299067026
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,31,9535,0.004764208223363179
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,32,9535,0.00920011243816751
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,33,9535,0.005211865191006179
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,34,9535,0.0060251232234984865
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,35,9535,0.006961934026568403
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,36,9535,0.00610645365429782
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,37,9535,0.0111542961979812
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,38,9535,0.006593582012995126
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,39,9535,0.007349118069283758
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,40,9535,0.006417620638590072
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,41,9535,0.006469016601239601
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,42,9535,0.005734545717746726
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,43,9535,0.0062947813970018725
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,44,9535,0.010374395393815532
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,45,9535,0.012144225139234192
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,46,9535,0.004260109356094489
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,47,9535,0.006333963606986118
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,48,9535,0.0071948580265940145
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,49,9535,0.0048739810995510665
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,50,9535,0.005742166486535447
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,51,9535,0.004668363921954164
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,52,9535,0.011181774671232724
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,53,9535,0.005452406776649615
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,54,9535,0.006835351232966503
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,55,9535,0.006366593862109677
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,56,9535,0.006579482699454978
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,57,9535,0.007165719784680961
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,58,9535,0.011155211841410115
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,59,9535,0.007726819824494102
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,60,9535,0.003081892265434736
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,61,9535,0.004489430695676073
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,62,9535,0.004491355180515268
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,63,9535,0.00566470444603502
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,64,9535,0.005312048124760939
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,65,9535,0.0106588118562086
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,66,9535,0.007529980045396462
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,67,9535,0.005527595025478219
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,68,9535,0.005302803745417067
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,69,9535,0.006061441162621544
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,70,9535,0.007430832603159494
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,71,9535,0.004471882638772458
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,72,9535,0.004973137567900171
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,73,9535,0.006487845443771732
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,74,9535,0.008504110515704167
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,75,9535,0.004322578856217856
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,76,9535,0.009447846167713752
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,77,9535,0.013349296049145917
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,78,9535,0.008669465890226198
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,79,9535,0.009131634972021081
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,80,9535,0.005444108778759496
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,81,9535,0.005280325506423109
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,82,9535,0.0045427265669930016
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,83,9535,0.005595132970419447
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,84,9535,0.006370595279929542
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,85,9535,0.013065364362522668
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,86,9535,0.004101386710593557
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,87,9535,0.005279312938473888
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,88,9535,0.006054335122697803
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,89,9535,0.006783592765315008
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,90,9535,0.003944913786035946
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,91,9535,0.0037824909331726038
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,92,9535,0.007176502978817151
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,93,9535,0.0054445632475752905
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,94,9535,0.005076715763497844
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,95,9535,0.007141441365519984
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,96,9535,0.013034708737145911
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,97,9535,0.008291613338337764
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,98,9535,0.00959432046139105
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,99,9535,0.009220736915719834
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,chirp_mass,100,9535,0.009576232446287495
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,1,9599,0.004660797607534644
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,2,9599,0.00444837844956396
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,3,9599,0.006569457233577383
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,4,9599,0.006351446288344263
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,5,9599,0.006668589087485137
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,6,9599,0.011570372828033127
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,7,9599,0.006495109443178318
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,8,9599,0.006365961053387562
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,9,9599,0.006502860114548513
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,10,9599,0.005229273449816175
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,11,9599,0.0051818192784247406
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,12,9599,0.006137302590285166
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,13,9599,0.0047903162858619
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,14,9599,0.008404551080665009
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,15,9599,0.007051123910747011
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,16,9599,0.01265948661820871
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,17,9599,0.006631835634260133
