event,parameter,xphm_split_NW1_p95,xpnr_split_NW1_p95,pair_noise_threshold_NW1
GW240525_031210,chirp_mass,0.011229897194632795,0.01158767722227664,0.01158767722227664
GW240525_031210,mass_ratio,0.009484079354809447,0.00888586668307748,0.009484079354809447
GW240525_031210,chi_eff,0.008937880163024516,0.010416726846544112,0.010416726846544112
GW240525_031210,luminosity_distance,0.009149935680188476,0.010107952677310033,0.010107952677310033
GW240525_031210,chirp_mass_source,0.00906474646175109,0.00928563343498886,0.00928563343498886
GW240414_054515,chirp_mass,0.011741508218295294,0.01225072978808913,0.01225072978808913
GW240414_054515,mass_ratio,0.010311305828636975,0.011013875539626808,0.011013875539626808
GW240414_054515,chi_eff,0.009870946515251037,0.01180258007671917,0.01180258007671917
GW240414_054515,luminosity_distance,0.009690731390283766,0.011060904911860342,0.011060904911860342
GW240414_054515,chirp_mass_source,0.012145692522066669,0.011934882284587315,0.012145692522066669
GW241109_115924,chirp_mass,0.010838761158089516,0.012180074821280676,0.012180074821280676
GW241109_115924,mass_ratio,0.01003703122440355,0.013807454196005436,0.013807454196005436
GW241109_115924,chi_eff,0.01198038216210352,0.014398865382659285,0.014398865382659285
GW241109_115924,luminosity_distance,0.010027835965176691,0.013365286233510895,0.013365286233510895
GW241109_115924,chirp_mass_source,0.01004489318373113,0.011350160735805304,0.011350160735805304
GW241101_220523,chirp_mass,0.01005583263576706,0.010463516917287006,0.010463516917287006
GW241101_220523,mass_ratio,0.010187114275965166,0.010665980187860162,0.010665980187860162
GW241101_220523,chi_eff,0.011702452547833081,0.00916120787912121,0.011702452547833081
GW241101_220523,luminosity_distance,0.009559206248773613,0.009658897310016196,0.009658897310016196
GW241101_220523,chirp_mass_source,0.010153215120075627,0.010295541827939732,0.010295541827939732
GW240922_142106,chirp_mass,0.010358266202240668,0.009976478369578035,0.010358266202240668
GW240922_142106,mass_ratio,0.009808455318381946,0.01033653801486388,0.01033653801486388
GW240922_142106,chi_eff,0.010308895193026446,0.010348892569779972,0.010348892569779972
GW240922_142106,luminosity_distance,0.009426122412908237,0.010141982544112992,0.010141982544112992
GW240922_142106,chirp_mass_source,0.010107327377151138,0.008425629992240282,0.010107327377151138
GW240531_075248,chirp_mass,0.00960981869821565,0.010312633984691864,0.010312633984691864
GW240531_075248,mass_ratio,0.010048952701695176,0.009302836513093124,0.010048952701695176
GW240531_075248,chi_eff,0.010103174879423044,0.010598207499960486,0.010598207499960486
GW240531_075248,luminosity_distance,0.009535876618847944,0.01071548591602932,0.01071548591602932
GW240531_075248,chirp_mass_source,0.009713656486718576,0.01092780317471395,0.01092780317471395
GW240428_225440,chirp_mass,0.009814616311532067,0.010540551700320776,0.010540551700320776
GW240428_225440,mass_ratio,0.009465308849326686,0.008632520921381712,0.009465308849326686
GW240428_225440,chi_eff,0.010886502595486722,0.010495122790670044,0.010886502595486722
GW240428_225440,luminosity_distance,0.009933917957723417,0.009194970563831648,0.009933917957723417
GW240428_225440,chirp_mass_source,0.010136137137153525,0.010462760037756905,0.010462760037756905
GW240630_101703,chirp_mass,0.010108885868998645,0.009503238967878174,0.010108885868998645
GW240630_101703,mass_ratio,0.009797756850369668,0.00987097775883907,0.00987097775883907
GW240630_101703,chi_eff,0.00969274578190905,0.009546842438152571,0.00969274578190905
GW240630_101703,luminosity_distance,0.010099630111792693,0.01128539013752146,0.01128539013752146
GW240630_101703,chirp_mass_source,0.010383182256732824,0.01061836020217453,0.01061836020217453
GW240910_103535,chirp_mass,0.01035497073271646,0.010911037620903077,0.010911037620903077
GW240910_103535,mass_ratio,0.009343121921446684,0.010206009131062654,0.010206009131062654
